,gene,label,ST
1321,EIF3E,NRPs_like_SHHb2,0.0012308889
1834,OGA,OPCs_like_MYC1,0.0012288983
700,SNHG14,Glutamatergic,0.001226241
2243,PNN,OPCs_like_MYC4,0.0012257677
873,PWWP3A,IPCs_like_SHHa2,0.0012205873
2406,TMPO,OPCs_like_MYC6,0.0012188002
1825,COL1A2,OPCs_like_MYC1,0.0012182062
1937,SUGP2,OPCs_like_MYC2,0.00120925
814,LUC7L,IPCs_like_SHHa2,0.0012056004
17,ATP2B4,Astrocytes,0.0011967228
2677,HSPD1,OPCs_like_MYC7,0.0011945333
1238,ITGB1,NRPs_like_SHHb1,0.0011598165
2506,GJA1,OPCs_like_MYC6,0.0011588929
1051,MEG3,ImmatureNeurons_like_SHHa3,0.0011588465
1848,SOX4,OPCs_like_MYC1,0.0011556733
1980,PTCH1,OPCs_like_MYC2,0.0011486437
1361,TRAK1,NRPs_like_SHHb3,0.0011449424
906,AUTS2,IPCs_like_SHHa2,0.0011346699
1292,ARID1A,NRPs_like_SHHb2,0.0011312984
1930,MIR100HG,OPCs_like_MYC2,0.0011271954
1955,PRKDC,OPCs_like_MYC2,0.0011207232
1265,CDK6,NRPs_like_SHHb1,0.0011165022
900,MN1,IPCs_like_SHHa2,0.00110891
2631,HP1BP3,OPCs_like_MYC7,0.0010875693
755,UBE2E3,IPCs/OPCs_like_SHHa1,0.0010872118
898,WSCD1,IPCs_like_SHHa2,0.0010851409
2221,SLC1A3,OPCs_like_MYC4,0.0010806132
926,ADGRV1,IPCs_like_SHHa3,0.0010727855
1594,CADM1,NRPs_like_SHHb4,0.0010689932
537,TRIM24,GRPs_like_TYR2,0.0010586055
2450,KPNB1,OPCs_like_MYC6,0.0010487727
2023,LAPTM4B,OPCs_like_MYC2,0.001046016
1782,ATP2A2,OPCs_like_MYC1,0.0010452552
661,NSD2,GRPs_like_TYR3,0.0010423232
1478,MSI2,NRPs_like_SHHb4,0.00103757
939,SPAG9,IPCs_like_SHHa3,0.0010299243
2683,MORF4L2,OPCs_like_MYC7,0.0010250318
2655,TUT4,OPCs_like_MYC7,0.0010204712
656,TNRC18,GRPs_like_TYR3,0.0010186213
799,ZMIZ1,IPCs_like_SHHa2,0.0010096132
2447,IPO5,OPCs_like_MYC6,0.0010090141
88,FYN,BMDM,0.001005476
966,NKTR,IPCs_like_SHHa5,0.0009913114
2688,SERPINH1,OPCs_like_MYC7,0.0009883757
2622,TIAL1,OPCs_like_MYC7,0.0009868352
2338,TPM4,OPCs_like_MYC5,0.0009867569
2333,TNFRSF19,OPCs_like_MYC5,0.0009841786
2661,PTGES3,OPCs_like_MYC7,0.0009808752
1644,SEPTIN7,OLs,0.0009769741
2721,ANKRD10,Pre_OLs,0.0009756109
2330,MYH10,OPCs_like_MYC5,0.00097476895
1004,HACD3,IPCs_like_SHHa5,0.00097435905
498,GALNT2,GRPs_like_TYR2,0.00097314944
674,NTRK2,Glutamatergic,0.0009669956
632,RBM25,GRPs_like_TYR3,0.0009648209
63,MACF1,Astrocytes,0.0009556438
2446,CALU,OPCs_like_MYC6,0.00094781956
748,PBX1,IPCs/OPCs_like_SHHa1,0.00094189576
2240,ALCAM,OPCs_like_MYC4,0.0009375578
508,YAP1,GRPs_like_TYR2,0.0009350482
783,ADGRL1,IPCs_like_SHHa2,0.000932872
1966,EIF3H,OPCs_like_MYC2,0.0009319596
1776,CSNK1A1,OPCs_like_MYC1,0.00093152677
2662,CCT3,OPCs_like_MYC7,0.0009299861
2191,NDFIP1,OPCs_like_MYC3,0.00092975463
2480,SEPTIN11,OPCs_like_MYC6,0.0009296872
891,ABAT,IPCs_like_SHHa2,0.0009191301
1367,SRSF10,NRPs_like_SHHb3,0.0009173594
550,TRA2B,GRPs_like_TYR2,0.00091238465
924,SCUBE1,IPCs_like_SHHa2,0.000905284
1001,TOP2B,IPCs_like_SHHa5,0.0009046466
2616,CHD3,OPCs_like_MYC7,0.00089270575
2579,ZRANB2,OPCs_like_MYC7,0.00088295114
944,CACHD1,IPCs_like_SHHa3,0.00087869115
1934,ADNP,OPCs_like_MYC2,0.0008767864
524,HUWE1,GRPs_like_TYR2,0.0008720874
829,CORO1C,IPCs_like_SHHa2,0.0008710646
635,CTNND1,GRPs_like_TYR3,0.00086597994
1287,LARP1,NRPs_like_SHHb2,0.0008629131
1376,PRCP,NRPs_like_SHHb3,0.0008610295
1933,GLG1,OPCs_like_MYC2,0.00085862685
2600,OCIAD1,OPCs_like_MYC7,0.00085198146
955,PSIP1,IPCs_like_SHHa5,0.0008492364
2665,DNAJA1,OPCs_like_MYC7,0.000847119
624,PUM1,GRPs_like_TYR3,0.0008471027
2319,CPSF6,OPCs_like_MYC5,0.00084544043
1958,CAPRIN1,OPCs_like_MYC2,0.0008438351
2650,EIF2S3,OPCs_like_MYC7,0.0008401122
1577,ADGRL2,NRPs_like_SHHb4,0.0008400763
2431,RERE,OPCs_like_MYC6,0.000839261
